DRESS/CLOTHES ON #SALE WHERE,Where are the clothes on sale?,Where is the clothing on sale?  ,Where are clothes on sale?  ,Where can I find clothes on sale?  ,Where are the clothes on sale located?  ,Where is there a sale on clothes?  ,Where can I buy clothes on sale?  ,Where is the sale for clothes happening?  ,Where are the sales for clothing?  ,Where does the clothing sale take place?  ,Where is clothing sold at a discount?  ,,,,,,,,,
"FRIEND IX-loc:i SCL:crvd-5""group go together"" GO-OUT LOOK (nd-1)MOVIE WHO JOIN",Who will join the friends` outing to the movie theater?,My friend and I are going with a group to the movies. Who wants to join?  ,My friend is going with a group of people to the movies. Who will join?  ,A group including me and my friend is going out to see a movie. Who will join us?  ,I'm going with my friend and a group to the movies. Who wants to come along?  ,My friend and a group are going out to watch a movie. Who will come join?  ,My friend and a group of us are going out to see a movie. Who wants to join?  ,"There's a group of us, my friend included, going to a movie. Who's joining?  ",My friend and I are going with a group to see a movie. Who's coming along?  ,A group including my friend and I is going out to watch a movie. Who's joining?  ,"My friend, some others, and I are heading out to a movie. Who wants to join?  ",,,,,,,,,
POSS-2p FAMILY (1h)TEND VACATION EVERY-YEAR WHERE,Where does your family tend to vacation?,Where does your family tend to vacation every year?  ,Where does your family usually go on vacation every year?  ,Where does your family vacation each year?  ,Where does your family go on vacation annually?  ,Where does your family like to vacation every year?  ,Where does your family tend to travel for vacation each year?  ,Where does your family vacation every year?  ,Where does your family typically go on vacation every year?  ,Where does your family tend to spend vacation time each year?  ,Where does your family prefer to go on vacation annually?,,,,,,,,,
SICK WHO,Who is sick?,Who is sick?  ,Who is the sick person?  ,Who got sick?  ,Who became sick?  ,Who fell ill?  ,Who is unwell?  ,Who is feeling sick?  ,Who was the one that got sick?  ,Who isn't feeling well?  ,Who is feeling ill?  ,,,,,,,,,
WHO (1)SEND LETTER/MAIL_2 (1h)part:indef,Who sent the letter?,Who sent the letter?  ,Who sent the mail?  ,Who is sending the letter?  ,Who is sending the mail?  ,Who did send the letter?  ,Who did send the mail?  ,Who has sent the letter?  ,Who has sent the mail?  ,Who was sending the letter?  ,Who was sending the mail?  ,,,,,,,,,
fs-BRIDE AND fs-GROOM IX-3p-pl-2:i/j IX-loc:i DANCE LAST WEDDING NOT (1h)part:indef BUOY_2,The bride and groom didn`t dance the last dance at the wedding.,"The bride and the groom danced at their last wedding, not this one.  ",The bride and groom won't be dancing at this wedding.  ,The bride and groom danced the last time at a wedding here.  ,The bride and groom won't dance at their wedding this time.  ,"This time, the bride and groom are not dancing at the wedding.  ",The bride and groom not dancing here at this wedding.  ,"Last time here, the bride and groom danced at a wedding.  ",The bride and groom not going to dance at their last wedding here.  ,The bride and groom did not dance at the wedding this time.  ,"The bride and groom were dancing at a different wedding, not this one.",,,,,,,,,
FRIEND PLAY FRISBEE (2h)NOT-YET,The friends have not played Frisbee.,The friend has not yet played frisbee.  ,The friends haven't played frisbee yet.  ,My friend has not played frisbee yet.  ,The friend did not play frisbee yet.  ,Friends are not playing frisbee yet.  ,A friend has not started playing frisbee yet.  ,The friend was supposed to play frisbee but hasn’t yet.  ,The friend hasn’t begun to play frisbee yet.  ,Friends have not yet had the chance to play frisbee.  ,A friend is yet to play frisbee.,,,,,,,,,
"FRIEND SCL:crvd-5""group go together"" GO-OUT (nd-1)MOVIE ACT IX-loc:i (2h)NOT-YET (25)WHY TRAFFIC_2",The friends have not gone to the theater because of traffic.,The friends were supposed to go out to the movie but haven't yet because of traffic.  ,The group of friends planned to go to the movie but haven't left yet due to traffic.  ,"The friends were going to the movies together, but they haven't left yet because of traffic.  ","A group of five friends wanted to go to the movie, but haven't yet due to traffic delays.  ",The friends are going together to the movie but haven't gone out yet because of traffic.  ,"The group of friends were going to the movie, but haven't left yet because of traffic.  ","Five friends were planning to go out to the movie, but they haven't left due to traffic.  ",The friends are planning to go to a movie but haven't left yet because of the traffic.  ,"A group of five friends was going to the movie, but they haven't gone yet because of traffic.  ",The friends planned to go see a movie but haven't yet due to the traffic.,,,,,,,,,
"IX-1p #FUCK (1h)5""not a big deal"" IX-1p NOT MOVE-AWAY ns-#SD (25)WHY IX-1p NOT READY part:indef",I'm not going to move out to San Diego because I'm not even ready.,"I'm not too phased by the situation, so I'm staying here in San Diego at 25 because I'm not ready yet.  ",I'm not worried about it and I'm not leaving San Diego at 25 because I'm not prepared.  ,"I don't think it's a big deal, so I'm still in San Diego at 25 due to not being ready.  ",I don't let it bother me and I'm not leaving San Diego because I haven't prepared.  ,"I'm not concerned with the situation, staying in San Diego at 25, as I'm not ready.  ","The issue doesn't bother me much, so I remain in San Diego at 25 because I'm not ready.  ",I'm not bothered and haven't left San Diego at 25 because I feel unprepared.  ,"I don't see it as an issue, so I'm staying put in San Diego at 25 since I'm not ready.  ","The situation isn't troubling me, so I continue living in San Diego at 25 due to lack of readiness.  ",It doesn't concern me enough to leave San Diego at 25; I'm simply not prepared yet.,,,,,,,,,
fs-BRIDE AND fs-GROOM END WEDDING (25)WHY (1h)part:indef,Why did the bride and groom end the wedding?,The bride and groom ended the wedding because of a reason.  ,The bride and groom concluded the wedding due to a mystery.  ,The bride and groom stopped the wedding for some reason.  ,The bride and groom finished the wedding without specifying why.  ,The bride and groom canceled the wedding for an unspecified reason.  ,The bride and groom wrapped up the wedding without a clear reason.  ,The bride and groom concluded the wedding and left a question.  ,The bride and groom terminated the wedding for an unclear purpose.  ,The bride and groom ended their ceremony due to an unspecified cause.  ,The bride and groom halted the wedding without an explanation.  ,,,,,,,,,
WANT_2 PLAY FRISBEE WHO (1h)part:indef,Who wants to play Frisbee?,Who wants to play frisbee?  ,Who is interested in playing frisbee?  ,Does anyone want to play frisbee?  ,Is anyone interested in playing frisbee?  ,Anyone want to play frisbee?  ,Who would like to play frisbee?  ,Would anyone like to play frisbee?  ,Anyone interested in playing frisbee?  ,Is there anyone who wants to play frisbee?  ,Who wants a game of frisbee?,,,,,,,,,
WHO WANT PLAY FRISBEE,Who wants to play Frisbee?,Who wants to play frisbee?  ,Who is interested in playing frisbee?  ,Does anyone want to play frisbee?  ,Is there anyone who wants to play frisbee?  ,Who would like to play frisbee?  ,Anyone want to play frisbee?  ,Is anyone interested in playing frisbee?  ,Who is up for a game of frisbee?  ,Who all wants to play frisbee?  ,Do you want to play frisbee?  ,,,,,,,,,
WHO ASK FOR DIRECT,Who is asking for directions?,Who asked for direct?  ,Who is asking for direct?  ,Who did ask for direct?  ,Who requested direct?  ,Who was asking for direct?  ,Who has asked for direct?  ,Who was it that asked for direct?  ,Who asks for direct?  ,Whose request was it for direct?  ,Who wanted direct?  ,,,,,,,,,
(1h)TEND COMMUTE BICYCLE (1h)part:indef WHO,Who tends to commute to work by bicycle?,Who tends to commute by bicycle?  ,Who usually commutes by bicycle?  ,Who often bikes to commute?  ,Who is likely to commute by bicycle?  ,Who rides a bicycle to commute typically?  ,Who generally uses a bicycle to commute?  ,Who habitually commutes by bike?  ,Who uses a bicycle to get to work?  ,Who tends to bike for commuting?  ,Who normally commutes using a bicycle?,,,,,,,,,
WHO GO-OUT #PO (1h)part:indef,Who is going to the post office?,Who is going out to the post office?  ,Who went out to the post office?  ,Who will go out to the post office?  ,Who is going out for the parcel office?  ,Who went out to the postal office?  ,Who is going out from the post office?  ,Who went outside to the post office?  ,Who is heading out to the post office?  ,Who is leaving for the post office?  ,Who popped out to the post office?,,,,,,,,,
WHO (1h)(flat-O)PAY/SPEND fs-RENT WHO,Who is paying rent?,Who is responsible for paying the rent?  ,Who pays the rent?  ,Who should spend on rent?  ,Who has to pay the rent?  ,Who is going to cover the rent?  ,Who needs to pay the rent?  ,Who will be spending on rent?  ,Who is supposed to pay the rent?  ,Who is allocated to pay the rent?  ,Who takes care of paying the rent?,,,,,,,,,
ns-fs-BOB IX-loc:i READ+ (1h)DO-DO,What did Bob read?,Bob likes to read.  ,Bob and I read together.  ,What does Bob read?  ,I read with Bob.  ,Did Bob read?  ,Bob reads where?  ,What is Bob doing reading?  ,I am reading what Bob is reading.  ,Where is Bob reading?  ,"I read, and what about Bob?",,,,,,,,,
TEACH+AGENT TEACH+AGENT IX-loc:i START NICE/CLEAN TIME+,What time did the teacher start cleaning?,The teacher started on time.  ,The teachers began at a good time there.  ,The instructors started at a very organized time.  ,The teacher began cleanly on time.  ,The teachers start neatly at the location.  ,"The teacher starts teaching there, on time.  ","The instructor here started at a good, organized time.  ",Both teachers at this location started punctually.  ,The teachers start promptly there.  ,This teacher starts clean there.,,,,,,,,,
FRIEND DELIBERATE DECIDE NOT (5)CRASH (P)PARTY,My friends talked and decided not to crash the party.,My friend deliberately decided not to crash the party.  ,A friend intentionally decided not to crash the party.  ,The friend decided deliberately not to crash the party.   ,My friend decided not to purposefully crash the party.    ,Friend intentionally decided not to party crash.    ,A friend made a deliberate decision not to crash the party.  ,Friend decided carefully not to crash the party.  ,The friend chose not to crash the party intentionally.  ,A friend decided to purposely avoid crashing the party.  ,Friend purposefully decided against crashing the party.  ,,,,,,,,,
IX-1p WANT+NEG WANT+NEG BUY SHORTS IX-1p,I don`t want to buy shorts.,I don't want to buy shorts.  ,I do not want to buy shorts.  ,I really don't want to buy shorts.  ,I definitely don't want to buy shorts.  ,I won't buy shorts.  ,I refuse to buy shorts.  ,I'm not interested in buying shorts.  ,I'm not going to buy shorts.  ,I would prefer not to buy shorts.  ,I have no desire to buy shorts.,,,,,,,,,
HONEST IX-1p VOMIT/HATE GO-OUT WORK COMMUTE BICYCLE IX-1p (1h)VOMIT/HATE IX-1p,"Honestly, I don`t like commuting to work by bicycle.","To be honest, I hate going out for work and commuting on a bicycle.  ","Honestly, I can't stand going out to work and biking there.  ","Truthfully, I really dislike having to bike to work.  ","Honestly, I hate leaving to commute to work on my bicycle.  ","To be honest, I hate using my bicycle to commute to work.  ",I honestly can't stand the bike commute to work.  ,"Truthfully, I hate heading out for my work commute by bike.  ","Honestly, I despise my bicycle commute when going to work.  ",I really can't stand going out on my bike to work.  ,I honestly hate having to ride my bicycle to work.  ,,,,,,,,,
NOTICE OH-I-SEE IX-3p:i BABY (1h)VOMIT/HATE FIREWORKS CRY++,That baby doesn`t like fireworks; it`s crying.,I see that your baby really hates fireworks and cries a lot.  ,It's noticeable that your baby vomits and cries a lot during fireworks.  ,"I noticed that the baby vomited and hates fireworks, crying a lot.  ",I see your baby vomit; they hate fireworks and cry so much.  ,"Notice how the baby hates fireworks, vomits, and cries a lot.  ",I've noticed your baby vomits and cries a lot because they hate fireworks.  ,Notice your baby really dislikes fireworks and cries a lot.  ,"You notice the baby hates fireworks and vomits, crying a lot.  ","I noticed the baby was crying a lot and hates fireworks, also vomited.  ","See that the baby vomits, hates fireworks, cries a lot.",,,,,,,,,
"FARM IX-loc:i PLAY SCL:crvd-V""horse galloping"" (2h)HORSE IX-loc:j (1h)part:indef DURING/WHILE RAIN (1h)VOMIT/HATE",The horses running on the farm hate when it rains,"At the farm, I played with horses galloping while it rained, and I felt sick.  ","I was at the farm playing with a horse running, while it rained, and I vomited.  ","While it was raining, I hated being at the farm with horses galloping.  ","At the farm, I was with horses running and because it rained, I felt nauseous.  ","While it was raining at the farm, I experienced nausea as horses galloped.  ","I played at the farm with running horses, and during the rain, I felt like vomiting.  ",The galloping horses at the farm made me sick as it rained.  ,"While at the farm where horses were running, I became sick during the rain.  ",I was playing with a horse galloping at the farm and felt nauseous during rain.  ,The rain made me hate being at the farm with the horses galloping.,,,,,,,,,
"SCL:3""person passed out"" (2h)DRUNK PAST+NIGHT PAST+NIGHT (25)WHY (1h)part:indef",Why did you drink hard and pass out last night?,A person passed out last night because of too much drinking.  ,The reason someone passed out last night was drunkenness.  ,"Someone got drunk last night and passed out, why?  ",Why did the person pass out last night? Because they were drunk.  ,There was a drunk person who passed out last night; why?  ,Someone was drunk last night and that's why they passed out.  ,A person passed out last night because they were drunk.  ,Why did the person pass out last night? They were drunk.  ,A person was drunk and passed out last night; that's why.  ,"Because of being drunk, a person passed out last night.",,,,,,,,,
FRIEND WANT_2 BUY PLAID (2h)SHIRT,My friend wants to buy a plaid shirt.,My friend wants to buy a plaid shirt.,A friend wants to buy a plaid shirt.,The friend wants to buy a plaid shirt.,Friend wants to purchase a plaid shirt.,A friend is interested in buying a plaid shirt.,Friend is planning to buy a plaid shirt.,The friend is looking to buy a plaid shirt.,Friend wants a plaid shirt.,A friend is going to buy a plaid shirt.,Friend intends to buy a plaid shirt.,,,,,,,,,
WHO KISS-FIST LOOK FIREWORKS,Who loves watching fireworks?,Who loves watching fireworks?  ,Who enjoys looking at fireworks?  ,Who is a fan of seeing fireworks?  ,Who loves watching the fireworks display?  ,Who adores seeing fireworks?  ,Who loves seeing fireworks?  ,Who enjoys watching fireworks?  ,Who likes looking at fireworks?  ,Who loves the sight of fireworks?  ,Who is fond of watching fireworks?,,,,,,,,,
PERSON IX-loc:i (1h)part:indef WHO IX-3p:i (1h)part:indef BUOY,Who is that person?,Who is this person?  ,Who is that person?  ,Who is the person?  ,Who could this person be?  ,Who might this person be?  ,Who could that person be?  ,Who might that person be?  ,Who is someone like that?  ,Who is someone like this?  ,Who is the individual?  ,,,,,,,,,
BIG #DOG_2 IX-loc:i (1h)ACCEPT WHO BUOY,Who owns that big dog?,The big dog there accepted who was buoyant.  ,The big dog accepted someone who was floating.  ,The big dog accepted whoever was buoyant.  ,That big dog accepted whoever was floating.  ,The big dog over there accepted whoever was buoyant.  ,That big dog accepted someone who was buoyant.  ,The big dog accepted who floated.  ,The big dog there accepted whoever floated.  ,The big dog accepted the floating person.  ,The large dog accepted whoever was afloat.  ,,,,,,,,,
WHO SICK WHO,Who is sick?,Who is sick?  ,Who is the one who is sick?  ,Which person is sick?  ,Who got sick?  ,Who became sick?  ,Who is the sick person?  ,Who's feeling ill?  ,Who has fallen sick?  ,Who fell ill?  ,Who suffers from sickness?,,,,,,,,,
AUNT EXPERT MAKE (1h)DO-DO,What is my aunt an expert at making?,What does the expert aunt do?  ,What is the expert aunt doing?  ,What's the expert aunt up to?  ,What action is being taken by the expert aunt?  ,What is the expert aunt supposed to do?  ,"What is the aunt, who is an expert, doing?  ",What does the expert aunt need to do?  ,What should the expert aunt do?  ,What are the expert aunt's actions?  ,What is happening with the expert aunt?,,,,,,,,,
TEACH+AGENT TEACH+AGENT IX-loc:i IX-3p-pl-arc HEAR/LISTEN IX-3p:i WHO BUOY IX-3p:j,Who listened to the teacher?,Teachers over there hear who that person is.  ,The teachers there are hearing who is that.  ,Over there the teachers hear who that one is.  ,Will the teachers over there hear who?  ,Do the teachers hear that person?  ,The teachers in that location listened to who they are.  ,The teachers are listening over there to who that person might be.  ,Teachers where they are hear and listen to who over there.  ,"In that spot, the teachers hear which person that is.  ",Teachers at that specific place listen to who is over there.,,,,,,,,,
WHO HEAR/LISTEN IX-3p:i (1h)TEACH+(1h)AGENT (1h)TEACH+(1h)AGENT (1h)part:indef,Who listened to the teacher?,Who listens to the teacher?  ,Who is listening to the teacher?  ,Who can hear the teacher?  ,Who is paying attention to the teacher?  ,Who hears the teacher?  ,Who is aware of the teacher?  ,Who is attending to the teacher?  ,Who understands what the teacher is saying?  ,Who is focused on the teacher?  ,Who is tuning in to the teacher?  ,,,,,,,,,
IX-1p ENJOY CHAT WITH ns-fs-DONNA AND SECOND-IN-LIST_4 ns-fs-JESSICA QMwg #NO NOT SO-SO,I didn`t enjoy talking to Donna and Jessica.,"Did you enjoy chatting with Donna and the second in the list, Jessica? No, not really.  ","You don't really like chatting with Donna and Jessica, right?  ","Are you enjoying the conversation with Donna and the other one, Jessica? No, not that much.  ","You enjoyed chatting with Donna and Jessica, didn't you? No, not so much.  ","You like talking to Donna and Jessica, don't you? Not really.  ","Do you enjoy the chat with Donna and Jessica? No, not so-so.  ","Did you like chatting with Donna and Jessica? No, not really.  ","Are you enjoying the chat with Donna and Jessica? No, not that much.  ","You don't find chatting with Donna and Jessica that enjoyable, right?  ","You don’t really enjoy the conversation with Donna and Jessica, is that correct?  ",,,,,,,,,
IX-2p NOT PASS-OUT_2 IX-2p DRUNK NOT IX-2p,Did you not pass out?,"Your two friends didn't pass out, they were drunk, not you.  ","Both of you didn't pass out; they were drunk, not you.",You are not the one who passed out; your two friends drank too much.,"The two of you didn’t pass out, they were drunk, not you.","Neither of you passed out; you were not drunk, they were.","Your friends didn't pass out, they were drunk, but you weren't.","They were drunk, not you, so both didn't pass out.",You didn't pass out like the other two; they were drunk.,"It's not true you passed out; your friends were drunk, not you.","Your two companions didn't pass out; they were drunk, not you.",,,,,,,,,
IX-1p FINISH DECIDE ns-fs-MARY NOT INVITE/HIRE GO-OUT #BQQ (P)PARTY (25)WHY IX-3p:i NOT HAPPEN (5)SOCIAL/INTERACT,I have decided not to invite Mary because she doesn`t get along with that crowd.,I decided not to hire/invite Mary to the BBQ party because she does not socialize often.  ,I've finished deciding that Mary won't be invited to the BBQ party because she does not interact socially.  ,My decision is made; Mary isn't invited to the BBQ party due to her lack of social interaction.  ,"Mary is not invited to the BBQ party because she doesn't socialize, as I have already decided.  ",I've decided not to include Mary in the BBQ party plans because she rarely socializes.  ,"Mary won't be hired/invited to the BBQ party because she isn't social, as decided.  ",Decided against inviting Mary to the BBQ party since she isn't very social.  ,The decision is made not to invite Mary to the BBQ as she doesn't socialize often.  ,I've made the decision that Mary isn't on the invite list for the BBQ due to her lack of socializing.  ,"Mary is excluded from the BBQ party invite because she doesn't engage socially, as I'm decided.",,,,,,,,,
"POSS-1p SISTER HATE WATER SKI (25)WHY HARD DCL:X""skiing back and forth"" BALANCE HARD",My sister hates water skiing because it is hard to balance.,My sister hates water skiing because balancing while skiing back and forth is difficult.  ,My sister dislikes water skiing since balancing while moving back and forth is hard.  ,My sister hates to water ski because it's hard to balance while moving back and forth.  ,My sister doesn't like water skiing because it's hard for her to balance while going back and forth.  ,My sister hates water skiing as it's difficult to balance when skiing back and forth.  ,My sister doesn't enjoy water skiing because the back-and-forth motion makes balancing hard.  ,My sister dislikes water skiing because it's tough to balance skiing back and forth.  ,My sister hates water skiing due to the difficulty of balancing while going back and forth.  ,My sister is not fond of water skiing because balancing while moving back and forth is tough.  ,My sister hates water skiing as balancing going back and forth is challenging.,,,,,,,,,
IX-1p (1h)part:indef NOT EXPERT MEMORIZE PEOPLE NAME MEET-3p-pl-arc MEMORIZE NAME (1h)DO-DO IX-1p NOT IX-1p (1h)part:indef,I am not good at memorizing names of people I`ve already met.,I'm not good at remembering people's names when I meet them.  ,I'm not an expert at memorizing the names of people I meet.  ,I'm not skilled at remembering people's names when I meet them.  ,I'm bad at memorizing names of people I meet.  ,I'm not proficient in remembering names when I meet people.  ,I'm not great at committing to memory the names of people I meet.  ,I'm not good at keeping track of names when I meet people.  ,I'm not someone who can easily memorize names of people I meet.  ,I'm not adept at remembering names when introduced to people.  ,I'm not good at recalling people's names after I meet them.  ,,,,,,,,,
IX-1p 1p-MEET-3p-pl-arc NEW PEOPLE IX-1p LOUSY MEMORIZE POSS-3p-pl-arc NAME IX-1p,When I meet new people I`m lousy at memorizing their names.,"When I meet new people, I am terrible at remembering their names.  ","I meet new people, but I am bad at remembering their names.  ",I'm not good at remembering names when I meet new people.  ,I struggle to remember names whenever I meet new people.  ,"When I meet new people, I find it hard to memorize their names.  ",I'm lousy at memorizing the names of new people I meet.  ,"Whenever I meet new people, I am terrible at remembering their names.  ","Meeting new people, I am bad at remembering names.  ",I'm not good at remembering the names of new people I meet.  ,I am bad at memorizing names when I meet new people.  ,,,,,,,,,
ns-fs-BOB IX-loc:i HAVE BIG #DOG_2 #NO IX-3p:i (1h)HAVE SMALL,Bob does not have a big dog; he has a small one.,"I have a big dog named Bob, and he doesn't have one, he has a small dog.  ","Bob here has my big dog, but I think he has a small one.  ","Bob at this location has a big dog, and he has a small one.  ","Bob, who is here, has my big dog, and that person has a small one.  ","Bob owns a large dog here, whereas he has a small dog.  ","My big dog named Bob is over here, and over there is someone else's small dog.  ","There is Bob's big dog, and over here, he has a tiny dog.  ","Bob here has a big dog, and she has a smaller dog.  ","This is Bob's location, where he has a big dog, and he also has a small dog.  ","Bob there has my big dog, but this person has a small dog.",,,,,,,,,
IX-2p (1h)TEND CHAT WITH ns-fs-JESSICA AND ns-fs-DONNA (1h)DO-DO (25)WHY,Do you usually talk with Jessica and Donna? What? Why?,Are you planning to chat with Jessica and Donna? Why?  ,Do you tend to chat with Jessica and Donna? Why?  ,Why do you plan to chat with Jessica and Donna?  ,Do you have chats with Jessica and Donna? Why?  ,Are you the one who usually chats with Jessica and Donna? Why?  ,Why are you chatting with Jessica and Donna?  ,Why do you chat with Jessica and Donna?  ,Do you tend to chat with Jessica and Donna? Why?  ,Why are you talking to Jessica and Donna?  ,Do you plan to chat with Jessica and Donna? Why?  ,,,,,,,,,
WANT #BQQ (P)PARTY (1h)part:indef #WHEN (1h)part:indef,When do you want the BBQ to be?,Do you want to party sometime?  ,Do you want to have a party sometime?  ,Do you want to go to a party sometime?  ,Want to party one of these days?  ,Are you up for partying sometime?  ,Would you like to party at some point?  ,Do you want to party at some point in time?  ,Thinking about going to a party someday?  ,Would you be interested in partying sometime?  ,Do you feel like having a party sometime?  ,,,,,,,,,
WHO (1h)TEND COMMUTE BICYCLE WHO,Who tends to commute to work by bicycle?,Who tends to commute by bicycle?  ,Who usually commutes by bicycle?  ,Who typically commutes by bicycle?  ,Who is inclined to commute by bicycle?  ,Who commutes by bicycle often?  ,Who regularly commutes by bicycle?  ,Who prefers to commute by bicycle?  ,Who habitually commutes by bicycle?  ,Who frequently commutes by bicycle?  ,Who generally commutes by bicycle?  ,,,,,,,,,
(2h)HORSE (1h)TEND PLAY-continuative WHERE,Where do the horses tend to play?,Where do the two horses usually play?,Where do both horses usually play?,Where do the horses tend to play continuously?,Where do horses often play?,Where do the horses usually play at?,Where do both of the horses regularly play?,Where do the horses typically play?,Where do horses tend to play?,Where do both horses play continuously?,Where do the horses often play?,,,,,,,,,
MUST (P)PAY fs-RENT WHO,Who has to pay rent?,Who has to pay the rent?  ,Who is responsible for paying the rent?  ,Who needs to pay the rent?  ,Who should pay the rent?  ,Who is required to pay the rent?  ,Who must pay the rent?  ,Who will pay the rent?  ,Who owes the rent?  ,Who is supposed to pay the rent?  ,Who is obligated to pay the rent?  ,,,,,,,,,
BAD WEATHER START IN ns-BOSTON #WHEN,When does the bad weather start in Boston?,When did the bad weather start in Boston?  ,When will the bad weather start in Boston?  ,When does the bad weather start in Boston?  ,When is the bad weather starting in Boston?  ,When is the start of bad weather in Boston?  ,When did the bad weather begin in Boston?  ,When will the bad weather begin in Boston?  ,When does the bad weather begin in Boston?  ,When is the bad weather going to start in Boston?  ,When is the bad weather expected to start in Boston?  ,,,,,,,,,
MOTHER IX-loc:i SICK QMwg HOW,Mother looks sick? How?,"Is your mother sick, how?  ","Your mother is sick, how?  ",How is your mother sick?  ,"Is it that your mother is sick, how?  ","Your mother is sick, what happened?  ",How come your mother is sick?  ,"Your mother is sick, why?  ","Is your mother sick, why?  ",What's wrong with your mother being sick?  ,Why is your mother sick?  ,,,,,,,,,
FRIEND GROUP/TOGETHER DELIBERATE (2h)REASON WANT+NEG WANT+NEG PIZZA_4 (P)PARTY (25)WHY (1h)part:indef UP-TO-NOW SAME-OLD,My friends realized they didn`t want a pizza party because it has been the norm.,The group of friends together decided for the same reason why they want not to want the pizza party until now.,The friends deliberated together because for the same reason they do not want the pizza party anymore until now.,The group of friends discussed the reason they don't want and don't want the pizza party now for the same old reason.,Friends decided together the reason they don't want to want a pizza party now is the same old reason.,The friends collectively reasoned why they don't want the pizza party up to now for the same reason as before.,The group of friends talked about why they still don't want the pizza party for the same reason until now.,"Friends deliberate together on the reason for not wanting the pizza party, same old reason as until now.",The reason friends don't want a pizza party right now until same old reason.,Friends together reasoned why they don't want pizza party now same old up to now.,The group of friends discussed and decided for the same reason they don’t want the pizza party at present.,,,,,,,,,
IX-2p (1)SEND LETTER/MAIL_2 WHO,Who did you send the letter to?,Who did you send the letter to?  ,Who are you sending the mail to?  ,Who is the recipient of your letter?  ,To whom did you send the letter?  ,Who are you mailing it to?  ,Who did you mail the letter to?  ,Who did you send mail to?  ,Who is the letter for?  ,To whom the mail was sent?  ,Who received your letter?  ,,,,,,,,,
POSS-1p GIRL+CORRECT GIRL+CORRECT IX-3p:i WANT+NEG WANT+NEG HEADBAND_2 FOR BIRTHDAY (1h)WANT+NEG (1h)WANT+NEG BUOY,My sister doesn`t want a headband for her birthday.,"I don't want her to have the headband for my birthday, no.",I absolutely don't want the headband for my birthday.,I definitely don't want her to give me the headband for my birthday.,I refuse to have the headband for my birthday.,I really don't want that headband for my birthday.,I'm not interested in having the headband for my birthday.,I am strongly against having the headband for my birthday.,I do not wish to receive the headband for my birthday.,I completely reject the headband for my birthday.,"I don't want the headband, period, for my birthday.",,,,,,,,,
"FRIEND SCL:crvd-5""group go together"" GO-OUT fs-BEACH (2h)NOT-YET",The friends have not gone to the beach.,"My group of friends is planning to go to the beach, but we haven't yet.  ",My friends and I haven't gone to the beach together yet.  ,Our group of friends hasn't gone out to the beach yet.  ,"The group of friends is planning to go to the beach, but hasn't done so yet.  ","We were planning to go to the beach with friends, but we haven't gone yet.  ",A group of friends intends to go to the beach together but hasn't yet.  ,Friends planned to leave for the beach as a group but haven't left yet.  ,"Five friends intend to go to the beach together, but haven't gone yet.  ",The group of five friends has not yet gone to the beach.  ,"Our group wants to go to the beach, but we haven't gone out yet.  ",,,,,,,,,
DRESS/CLOTHES IX-loc:i ON #SALE IX-loc:i NOT #NO,The clothes are not on sale.,The clothes on sale aren't excluded.  ,These clothes are not on sale.  ,The clothes on sale are not for nothing.  ,These clothes are not the ones on sale.  ,The sale doesn't include those clothes.  ,Those clothes aren't part of the sale.  ,The clothes currently on sale are not nothing.  ,Those clothes are not on the sale.  ,Clothing over there is not free or excluded from sale.  ,Those specific clothes are not on sale.  ,,,,,,,,,
IX-1p (2h)NOT-YET (P)PAY fs-RENT,I haven`t yet paid rent.,You haven't paid rent yet.  ,You didn't pay the rent yet.  ,You have not yet paid rent.  ,You did not pay rent yet.  ,You haven't yet paid the rent.  ,You have not paid the rent yet.  ,You have yet to pay rent.  ,You did not pay the rent yet.  ,You still haven't paid rent.  ,You've not yet paid the rent.    ,,,,,,,,,
TIME+ FRIEND IX-3p:i (5)CRASH (P)PARTY TIME+ (1h)part:indef,What time did my friend crash the party?,The friend crashed the party many times.  ,My friend crashed the party five times.  ,The friend often crashed parties.  ,My friend has crashed parties often.  ,That friend crashed five parties.  ,The friend crashed the party several times.  ,My friend often attended parties uninvited.  ,That friend crashed a party a couple of times.  ,A friend crashed the party frequently.  ,My friend regularly crashed parties.,,,,,,,,,
(1h)GOOD/THANK-YOU WEATHER IX-loc:i ARRIVE ns-BOSTON (2h)NOT-YET HURRY part:indef,Good weather has not arrived in Boston… Hurry up!,"The weather is good, thank you, I have not arrived in Boston yet, and I am not in a hurry.  ","Thank you for the good weather, I haven't arrived in Boston yet, and I'm not rushing.  ","It's good weather, thank you, I'm on my way to Boston, but not there yet, no need to hurry.  ","I appreciate the good weather, I am yet to arrive in Boston, and there's no rush.  ","With thanks for the good weather, I have not reached Boston yet, and I am taking my time.  ","Thanks to the good weather, I have not arrived in Boston yet, and I am not hurried.  ","The weather is nice, thank you, I am still on my way to Boston, and I'm not in a hurry.  ","Thank you, the weather is good, I haven't reached Boston yet, and I'm not rushing.  ","I am grateful for the good weather, I haven't arrived in Boston yet, and there's no hurry.  ","Enjoying the good weather, thank you, my arrival in Boston is pending, and I'm moving leisurely.  ",,,,,,,,,
